Date,Watch Hours,Videos Watched,Time per Video (min),In Cycle
2024-11-09,2.5,387,0.39,No
2024-11-10,1.09,181,0.36,No
2024-11-11,1.37,217,0.38,No
2024-11-12,0.79,153,0.31,No
2024-11-13,0.5,180,0.17,No
2024-11-14,1.21,362,0.2,No
2024-11-15,5.59,322,1.04,No
2024-11-16,2.17,647,0.2,No
2024-11-17,0.97,345,0.17,No
2024-11-18,2.01,522,0.23,No
2024-11-19,1.29,291,0.27,No
2024-11-20,0.72,141,0.31,No
2024-11-21,0.93,189,0.3,No
2024-11-22,1.48,392,0.23,No
2024-11-23,2.57,843,0.18,No
2024-11-24,4.33,1368,0.19,No
2024-11-25,1.58,587,0.16,No
